"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","407","Verify pet status","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Add a new pet","1-pet.spec.ts","",""
"","447","TC03 – Add a pet with multiple photos","","2025-12-12","failed","2025-12-12","Pet Store API - Pet Endpoint","1-pet.spec.ts","",""
"","2244","Verify status code","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Add a new pet","1-pet.spec.ts","",""
"","1020","Verify 200 OK status code","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Get pet by Id","1-pet.spec.ts","",""
"","643","TC-UP-02: Upload image for non-existing pet","","2025-12-13","passed","2025-12-13","Test Case for Get By ID endpoint > Test Cases for Upload Pet Image endpoint","1-pet.spec.ts","",""
"","390","TC03 – Add a pet with multiple photos","","2025-12-12","passed","2025-12-12","","1-pet.spec.ts","",""
"","1311","TC01 – Update pet name and status using form data","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Update Pet with Form Data endpoint","1-pet.spec.ts","",""
"","659","TC-PO-09: Place order with invalid petId type","","2025-12-18","passed","2025-12-18","Store API - Place Order > Negative Tests","2-store.spec.ts","",""
"","2856","TC010 - Validate response contract matches schema","","2025-12-13","passed","2025-12-13","Pet Store API > Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","423","TC-PO-05: Place order with missing petId","","2025-12-18","passed","2025-12-18","Store API - Place Order > Negative Tests","2-store.spec.ts","",""
"","831","TC-UP-02: Update non-existing pet","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","1892","TC03 – Update pet with only status using form data","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Update Pet with Form Data endpoint","1-pet.spec.ts","",""
"","917","TC02 – Find pets by invalid status","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Find Pets by Status endpoint","1-pet.spec.ts","",""
"","1487","TC03 – Add a pet with multiple tags","","2025-12-13","passed","2025-12-13","Pet Store API","1-pet.spec.ts","",""
"","1708","TC-UP-05: Update pet with partial data","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","551","TC-UP-02: Upload image for non-existing pet","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Upload Pet Image endpoint","1-pet.spec.ts","",""
"","3083","TC03 – Find pets by multiple statuses","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Find Pets by Status endpoint","1-pet.spec.ts","",""
"","349","TC-PO-03: Place order with quantity > 1","","2025-12-18","passed","2025-12-18","Store API - Place Order > Positive Tests","2-store.spec.ts","",""
"","1760","TC-PO-02: Place order with different valid status values","","2025-12-18","passed","2025-12-18","Store API - Place Order > Positive Tests","2-store.spec.ts","",""
"","1052","TC05 – Name field missing","","2025-12-13","passed","2025-12-13","Pet Store API","1-pet.spec.ts","",""
"","796","TC02 – Delete non-existing pet","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for Delete Pet endpoint","1-pet.spec.ts","",""
"","348","TC04 – Add a pet with multiple tags","","2025-12-12","passed","2025-12-12","Pet Store API","1-pet.spec.ts","",""
"","1408","TC-UP-08: Update pet and check response time","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","1238","TC09 - Performance: Get pet by id should respond < 2000ms","","2025-12-13","passed","2025-12-13","Pet Store API > Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","2078","TC-UP-09: Update pet and validate response schema","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","4503","TC-PO-02: Place order with different valid status","","2025-12-17","passed","2025-12-17","Store API - Place Order > Positive Tests","2-store.spec.ts","",""
"","1082","TC07 – Get non existing bet","","2025-12-13","passed","2025-12-13","Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","502","TC-GOI-05: Get order with invalid orderId (alphabets)","","2025-12-18","passed","2025-12-18","Store API - Get Order by ID > Negative Tests","2-store.spec.ts","",""
"","3015","TC07 – Name field missing","","2025-12-12","failed","2025-12-12","Pet Store API - Pet Endpoint > Add a new pet","1-pet.spec.ts","",""
"","1888","TC-UP-07: Update pet with special characters in name","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","3731","TC-UP-03: Upload image with meta data","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Upload Pet Image endpoint","1-pet.spec.ts","",""
"","787","Validate response contract matches schema","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Get pet by Id","1-pet.spec.ts","",""
"","1020","TC04 – Add a pet with multiple tags","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Add a new pet","1-pet.spec.ts","",""
"","716","Performance: Get pet by id should respond < 2000ms","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Get pet by Id","1-pet.spec.ts","",""
"","540","TC05 – Update pet with invalid petId using form data","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Update Pet with Form Data endpoint","1-pet.spec.ts","",""
"","2462","TC-UP-01: Upload image for existing pet","","2025-12-13","passed","2025-12-13","Test Case for Get By ID endpoint > Test Cases for Upload Pet Image endpoint","1-pet.spec.ts","",""
